Month,TimeIndex,G_kWh_day,R_kWh_day,W_kWh_day,ThetaType_master_SEK,TypeAssignmentCost_reconstructed_SEK
July,34,47.04757640965538,47.04757640965538,47.04757640965537,0.0,0.0
July,35,41.1333924015366,41.1333924015366,41.13339240153659,0.0,0.0
July,36,18.65202526633656,18.652025266336565,18.65202526633656,0.0,0.0
July,37,9.562917949332535,9.562917949332535,9.562917949332535,0.0,0.0
July,38,2.6086912701589533,2.6086912701589497,2.6086912701589533,0.0,0.0
July,39,2.0740279286661547,2.0740279286661547,2.0740279286661547,0.0,0.0
July,40,0.0,0.0,0.0,0.0,0.0
July,41,0.0,0.0,0.0,0.0,0.0
July,42,0.0,0.0,0.0,0.0,0.0
July,43,0.0,0.0,0.0,0.0,0.0
July,44,0.0,0.0,0.0,0.0,0.0
July,45,0.0,0.0,0.0,0.0,0.0
July,46,0.0,0.0,0.0,0.0,0.0
July,47,0.0,0.0,0.0,0.0,0.0
July,48,0.0,0.0,0.0,0.0,0.0
August,1,0.0,0.0,0.0,0.0,0.0
August,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,15.536814397556562
August,3,4.537846938930301,4.537846938930301,4.537846938930301,0.0,0.0
August,4,4.3568892443349725,4.3568892443349725,4.3568892443349725,0.0,0.0
August,5,0.0,0.0,0.0,0.0,0.0
August,6,0.0,0.0,0.0,0.0,0.0
August,7,0.0,0.0,0.0,0.0,0.0
August,8,0.0,0.0,0.0,0.0,0.0
August,9,0.0,0.0,0.0,0.0,0.0
August,10,0.0,0.0,0.0,0.0,0.0
August,11,1.241450806451613,1.241450806451613,1.241450806451613,0.0,0.0
August,12,0.0,0.0,0.0,0.0,0.0
August,13,0.0,0.0,0.0,0.0,0.0
August,14,8.028540684501964,8.028540684501964,8.028540684501962,0.0,0.0
August,15,9.252288883145749,9.252288883145749,9.252288883145749,0.0,0.0
August,16,45.99260217176,45.99260217176,45.99260217176,0.0,0.0
August,17,156.40407922474083,156.40407922474083,156.4040792247408,0.0,0.0
August,18,97.6462089417202,97.6462089417202,97.6462089417202,0.0,0.0
August,19,83.97652721709662,83.97652721709665,83.97652721709662,0.0,0.0
August,20,20.84260394740238,20.84260394740238,20.84260394740238,0.0,0.0
August,21,6.471938301418293,6.471938301418293,6.471938301418293,0.0,0.0
August,22,6.370282538518881,6.370282538518881,6.370282538518881,0.0,0.0
August,23,67.59958917655632,67.59958917655632,67.59958917655632,0.0,0.0
August,24,51.27701359316674,51.27701359316674,51.27701359316674,0.0,0.0
August,25,23.427442295420256,23.427442295420256,23.427442295420256,0.0,0.0
August,26,23.973240934815166,23.973240934815166,23.973240934815166,0.0,0.0
August,27,34.67116201178284,34.67116201178284,34.67116201178284,0.0,0.0
August,28,97.64848900293525,97.64848900293525,97.64848900293525,0.0,0.0
August,29,31.847913536072532,31.847913536072532,31.847913536072532,0.0,0.0
August,30,45.27510239883534,45.27510239883534,45.27510239883534,0.0,0.0
August,31,39.76835617254627,39.76835617254627,39.76835617254627,0.0,0.0
August,32,0.7290479349729807,0.7290479349729807,0.7290479349729807,0.0,0.0
August,33,36.825081254621885,36.825081254621885,36.825081254621885,0.0,27.935379336505463
August,34,42.04838456981971,42.0483845698197,42.0483845698197,0.0,0.0
August,35,37.7369425387377,37.7369425387377,37.736942538737694,0.0,0.0
August,36,21.399132661290324,21.399132661290324,21.399132661290324,0.0,0.0
August,37,0.0,0.0,0.0,0.0,0.0
August,38,0.6994932056427352,0.6994932056427352,0.6994932056427352,0.0,0.0
August,39,2.0740279286661547,2.0740279286661547,2.0740279286661547,0.0,0.0
August,40,0.0,0.0,0.0,0.0,0.0
August,41,0.0,0.0,0.0,0.0,0.0
August,42,0.0,0.0,0.0,0.0,0.0
August,43,0.0,0.0,0.0,0.0,0.0
August,44,0.0,0.0,0.0,0.0,0.0
August,45,0.0,0.0,0.0,0.0,0.0
August,46,0.0,0.0,0.0,0.0,0.0
August,47,0.0,0.0,0.0,0.0,0.0
August,48,0.0,0.0,0.0,0.0,0.0
September,1,0.0,0.0,0.0,0.0,0.0
September,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,0.0
September,3,4.537846938930301,4.537846938930301,4.537846938930301,0.0,0.0
September,4,4.3568892443349725,4.3568892443349725,4.3568892443349725,0.0,0.0
September,5,0.0,0.0,0.0,0.0,0.0
September,6,0.0,0.0,0.0,0.0,0.0
September,7,0.0,0.0,0.0,0.0,0.0
September,8,0.0,0.0,0.0,0.0,0.0
September,9,0.0,0.0,0.0,0.0,0.0
September,10,0.0,0.0,0.0,0.0,0.0
September,11,0.13487625000000003,0.13487625000000003,0.13487625000000003,0.0,0.0
September,12,0.0,0.0,0.0,0.0,0.0
September,13,0.0,0.0,0.0,0.0,0.0
September,14,8.028540684501884,8.028540684501884,8.028540684501884,0.0,0.0
September,15,10.664199692736569,10.664199692736569,10.664199692736569,0.0,0.0
September,16,45.992602171759486,45.992602171759486,45.992602171759486,0.0,0.0
September,17,161.6369699502624,161.6369699502624,161.63696995026243,0.0,132.83066160410078
September,18,105.08774379206305,105.08774379206305,105.08774379206305,0.0,1307.5143227638969
September,19,88.38311760643825,88.38311760643828,88.38311760643825,0.0,441.0988558401241
September,20,23.855621231709257,23.855621231709257,23.855621231709257,0.0,0.0
September,21,10.091974333676367,10.091974333676367,10.091974333676367,0.0,0.0
