iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,August,34,corepoint_lp_dual_upper_cut,0.0,1393533.1981482762,1393533.1981482762,1367,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,25,corepoint_lp_dual_upper_cut,0.0,1389522.0585928448,1389522.0585928448,1458,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,33,corepoint_lp_dual_upper_cut,0.0,1386442.0030190195,1386442.0030190195,1350,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,20,corepoint_lp_dual_upper_cut,0.0,1385399.3067146805,1385399.3067146805,1533,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,21,corepoint_lp_dual_upper_cut,0.0,1383190.1913534177,1383190.1913534177,1471,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,34,corepoint_lp_dual_upper_cut,0.0,1383093.9855730685,1383093.9855730685,1367,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,26,corepoint_lp_dual_upper_cut,0.0,1380543.5705732214,1380543.5705732214,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,34,corepoint_lp_dual_upper_cut,0.0,1375640.6851829141,1375640.6851829141,1369,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,24,corepoint_lp_dual_upper_cut,0.0,1368798.9417346749,1368798.9417346749,1484,10026,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,25,corepoint_lp_dual_upper_cut,0.0,1363551.8047502316,1363551.8047502316,1456,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,29,corepoint_lp_dual_upper_cut,0.0,1361787.9206116518,1361787.9206116518,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,November,16,corepoint_lp_dual_upper_cut,0.0,1360650.348513202,1360650.348513202,1521,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,20,corepoint_lp_dual_upper_cut,0.0,1360480.9976815516,1360480.9976815516,1530,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,24,corepoint_lp_dual_upper_cut,0.0,1359247.875100598,1359247.875100598,1484,10026,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,30,corepoint_lp_dual_upper_cut,0.0,1358392.6688193858,1358392.6688193858,1335,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,28,corepoint_lp_dual_upper_cut,0.0,1358273.7294138984,1358273.7294138984,1383,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,23,corepoint_lp_dual_upper_cut,0.0,1357376.3781370097,1357376.3781370097,1416,9900,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,21,corepoint_lp_dual_upper_cut,0.0,1355253.6666418684,1355253.6666418684,1473,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,23,corepoint_lp_dual_upper_cut,0.0,1347905.0147104142,1347905.0147104142,1416,9900,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,16,corepoint_lp_dual_upper_cut,0.0,1342550.9035465973,1342550.9035465973,1521,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,26,corepoint_lp_dual_upper_cut,0.0,1342078.9912431997,1342078.9912431997,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,29,corepoint_lp_dual_upper_cut,0.0,1341244.1561142588,1341244.1561142588,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,34,corepoint_lp_dual_upper_cut,0.0,1340591.477231151,1340591.477231151,1365,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,30,corepoint_lp_dual_upper_cut,0.0,1337900.1246714862,1337900.1246714862,1335,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,33,corepoint_lp_dual_upper_cut,0.0,1337613.5017623387,1337613.5017623387,1355,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,25,corepoint_lp_dual_upper_cut,0.0,1334663.5448578869,1334663.5448578869,1458,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,28,corepoint_lp_dual_upper_cut,0.0,1333823.4391157036,1333823.4391157036,1384,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,35,corepoint_lp_dual_upper_cut,0.0,1331274.8886040016,1331274.8886040016,1380,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
